d_odds,odds,home_name,score,away_name,_id,a_odds,result,match_id,time,h_odds
6.18,,塞尔维亚,1:1,威尔士,20170612012,3.60,1,周日012,2017-06-12,1.45
3.85,,爱尔兰,1:1,奥地利,20170612011,2.90,1,周日011,2017-06-12,1.91
3.60,,奥林匹奥,3:1,飓风,20170605032,2.85,3,周日032,2017-06-05,2.00
3.95,,贝尔格拉诺,1:2,兵工厂,20170605031,3.05,0,周日031,2017-06-05,1.83
2.33,,拉普拉塔体操,1:2,班菲尔德,20170605030,2.85,0,周日030,2017-06-05,2.86
2.63,,庞特普雷塔,1:0,圣保罗,20170605029,3.00,3,周日029,2017-06-05,2.41
4.08,,帕尔梅拉斯,0:0,米内罗竞技,20170605028,3.50,1,周日028,2017-06-05,1.67
3.60,,奥兰多城,3:3,蒙特利尔冲击,20170618034,3.45,1,周六034,2017-06-18,1.78
3.80,,亚特兰大联,3:1,哥伦布机员,20170618033,3.85,3,周六033,2017-06-18,1.65
6.95,,萨斯菲尔德,5:1,萨米恩托,20170618032,4.00,3,周六032,2017-06-18,1.36
8.60,,瓦斯科达伽马,1:0,阿瓦伊,20170618031,4.10,3,周六031,2017-06-18,1.30
1.39,,阿尔多西维,0:4,博卡青年,20170618030,3.85,0,周六030,2017-06-18,6.65
6.60,,澳大利亚,3:2,沙特,20170608001,3.95,3,周四001,2017-06-08,1.38
2.85,,乌拉圭U20,1:1,委内瑞拉U20,20170608010,2.62,1,周四010,2017-06-08,2.52
2.71,,沙佩科恩斯,3:6,格雷米奥,20170609007,2.90,0,周三007,2017-06-09,2.41
2.52,,瓦斯科达伽马,2:5,科林蒂安,20170608009,3.00,0,周三009,2017-06-08,2.51
2.28,,累西腓体育,2:0,弗拉门戈,20170608008,3.05,3,周三008,2017-06-08,2.76
2.80,,科罗拉多急流,2:1,哥伦布机员,20170604030,3.15,3,周六030,2017-06-04,2.20
8.50,,达拉斯FC,6:2,皇家盐湖城,20170604029,4.60,3,周六029,2017-06-04,1.26
3.10,,新英格兰革命,3:0,多伦多FC,20170604028,3.30,3,周六028,2017-06-04,1.99
2.73,,蒙特利尔冲击,1:0,纽约红牛,20170604027,3.35,3,周六027,2017-06-04,2.15
2.65,,华盛顿联,0:0,洛杉矶银河,20170604026,3.30,1,周六026,2017-06-04,2.23
2.90,,新泻天鹅,1:2,大宫松鼠,20170617009,3.20,0,周六009,2017-06-17,2.12
4.10,,川崎前锋,1:0,广岛三箭,20170617008,3.90,3,周六008,2017-06-17,1.59
4.20,,大阪樱花,1:1,清水鼓动,20170617007,3.75,1,周六007,2017-06-17,1.60
2.98,,东京绿茵,3:3,爱媛FC,20170617006,3.20,1,周六006,2017-06-17,2.08
8.55,,鹿岛鹿角,3:0,札幌冈萨多,20170617005,4.70,3,周六005,2017-06-17,1.25
2.30,,德岛漩涡,0:1,湘南海洋,20170610004,3.10,0,周六004,2017-06-10,2.69
2.42,,东京绿茵,2:1,名古屋鲸八,20170610003,3.25,3,周六003,2017-06-10,2.45
2.60,,大分三神,2:2,横滨FC,20170610002,3.05,1,周六002,2017-06-10,2.40
2.36,,千叶市原,0:0,福冈黄蜂,20170610001,3.28,1,周六001,2017-06-10,2.50
--,,直布罗陀,1:2,塞浦路斯,20170610011,--,0,周五011,2017-06-10,--
15.50,,哥斯达黎加,2:1,特立尼达和多巴哥,20170614012,6.40,3,周二012,2017-06-14,1.10
5.40,,巴拿马,2:2,洪都拉斯,20170614011,3.30,1,周二011,2017-06-14,1.56
1.41,,卡塔尔,3:2,韩国,20170614010,3.80,3,周二010,2017-06-14,6.35
4.62,,法国,3:2,英格兰,20170614009,3.30,3,周二009,2017-06-14,1.64
5.55,,哥伦比亚,4:0,喀麦隆,20170614008,4.00,3,周二008,2017-06-14,1.43
2.16,,摩尔多瓦,2:2,格鲁吉亚,20170612010,2.80,1,周日010,2017-06-12,3.25
1.64,,芬兰,1:2,乌克兰,20170612009,3.20,0,周日009,2017-06-12,4.82
8.50,,格雷米奥,2:0,瓦斯科达伽马,20170605027,4.35,3,周日027,2017-06-05,1.28
2.70,,奥德,0:0,布兰,20170605026,3.00,1,周日026,2017-06-05,2.35
6.30,,荷兰,5:0,科特迪瓦,20170605025,3.90,3,周日025,2017-06-05,1.40
2.25,,圣洛伦索,2:1,河床,20170605024,3.15,3,周日024,2017-06-05,2.73
2.13,,爱尔兰,3:1,乌拉圭,20170605023,2.90,3,周日023,2017-06-05,3.18
6.05,,拉斐拉竞技,1:1,基尔梅斯,20170618029,3.65,1,周六029,2017-06-18,1.45
7.00,,拉普拉塔大学生,2:0,贝尔格拉诺,20170618028,3.75,3,周六028,2017-06-18,1.39
3.00,,戈亚尼亚竞技,0:1,巴拉纳竞技,20170618027,2.97,0,周六027,2017-06-18,2.18
16.00,,西班牙U21,5:0,马其顿U21,20170618026,6.35,3,周六026,2017-06-18,1.10
3.45,,纽约城,2:1,西雅图海湾人,20170618025,3.60,3,周六025,2017-06-18,1.78
6.65,,桑托斯,1:0,博塔弗戈,20170608006,3.85,3,周三006,2017-06-08,1.39
2.80,,科里蒂巴,1:0,帕尔梅拉斯,20170608005,3.05,3,周三005,2017-06-08,2.25
9.60,,米内罗竞技,1:0,阿瓦伊,20170608004,5.20,3,周三004,2017-06-08,1.20
8.00,,西班牙,2:2,哥伦比亚,20170608003,4.15,1,周三003,2017-06-08,1.31
4.65,,意大利,3:0,乌拉圭,20170608002,3.45,3,周三002,2017-06-08,1.60
3.30,,拉努斯,1:0,拉普拉塔大学生,20170604025,2.90,3,周六025,2017-06-04,2.08
2.43,,圣菲联合,2:1,纽维尔老男孩,20170604024,2.82,3,周六024,2017-06-04,2.75
4.10,,科林蒂安,2:0,桑托斯,20170604023,3.20,3,周六023,2017-06-04,1.75
3.25,,温哥华白帽,3:1,亚特兰大联,20170604022,3.55,3,周六022,2017-06-04,1.86
7.85,,堪萨斯城竞技,3:0,明尼苏达联,20170604021,4.80,3,周六021,2017-06-04,1.26
2.62,,浦项制铁,1:2,蔚山现代,20170617004,3.10,0,周六004,2017-06-17,2.36
3.02,,横滨FC,0:1,山形山神,20170617003,3.00,0,周六003,2017-06-17,2.15
2.20,,水户蜀葵,3:1,千叶市原,20170617002,3.10,3,周六002,2017-06-17,2.85
2.82,,福冈黄蜂,3:1,名古屋鲸八,20170617001,3.35,3,周六001,2017-06-17,2.10
--,,爱沙尼亚,0:2,比利时,20170610010,--,0,周五010,2017-06-10,--
6.10,,波黑,0:0,希腊,20170610009,3.50,1,周五009,2017-06-10,1.47
--,,拉脱维亚,0:3,葡萄牙,20170610008,--,0,周五008,2017-06-10,--
1.06,,法罗群岛,0:2,瑞士,20170610007,7.35,0,周五007,2017-06-10,20.00
--,,安道尔,1:0,匈牙利,20170610006,--,3,周五006,2017-06-10,--
1.47,,瑞典,2:1,法国,20170610005,3.60,3,周五005,2017-06-10,5.85
1.52,,罗马尼亚,3:2,智利,20170614014,3.65,3,周二014,2017-06-14,5.05
2.23,,挪威,1:1,瑞典,20170614007,2.90,1,周二007,2017-06-14,2.98
1.81,,叙利亚,2:2,中国,20170613006,3.15,1,周二006,2017-06-13,3.85
1.20,,伊拉克,1:1,日本,20170613005,4.90,1,周二005,2017-06-13,10.85
1.21,,中国香港,1:1,朝鲜,20170613004,4.80,1,周二004,2017-06-13,10.60
1.47,,泰国,1:1,阿联酋,20170613003,3.90,1,周二003,2017-06-13,5.20
4.85,,维京,2:1,克里斯蒂安松,20170605022,3.50,3,周日022,2017-06-05,1.57
3.40,,松达尔,3:2,桑纳菲尤尔,20170605021,3.30,3,周日021,2017-06-05,1.88
4.10,,萨尔普斯堡,1:0,莫尔德,20170605020,3.65,3,周日020,2017-06-05,1.64
8.25,,罗森博格,3:1,斯特罗姆加斯特,20170605019,4.95,3,周日019,2017-06-05,1.24
4.01,,奥勒松,0:1,海于格松,20170605018,3.65,0,周日018,2017-06-05,1.65
3.15,,兵工厂,1:2,戈多伊克鲁斯,20170618024,3.10,0,周六024,2017-06-18,2.05
2.38,,克里斯蒂安松,1:1,奥勒松,20170618023,3.05,1,周六023,2017-06-18,2.62
6.35,,弗鲁米嫩塞,2:1,维多利亚,20170604020,4.05,3,周六020,2017-06-04,1.38
5.62,,罗萨里奥中央,0:0,科隆竞技,20170604019,3.40,1,周六019,2017-06-04,1.52
1.97,,坦珀利,2:1,铁路工场,20170604018,3.00,3,周六018,2017-06-04,3.47
4.85,,科里蒂巴,1:0,巴拉纳竞技,20170604017,3.40,3,周六017,2017-06-04,1.59
--,,新加坡,0:6,阿根廷,20170613002,--,0,周二002,2017-06-13,--
1.28,,澳大利亚,0:4,巴西,20170613001,4.50,0,周二001,2017-06-13,8.00
3.95,,蒙特利尔冲击,4:2,温哥华白帽,20170531007,3.75,3,周二007,2017-05-31,1.64
18.00,,基多天主大学,3:0,亚奎瓦石油,20170531006,7.20,3,周二006,2017-05-31,1.07
8.60,,利雅得希拉尔,2:1,胡齐斯坦独立,20170531005,5.00,3,周二005,2017-05-31,1.23
3.75,,莱赫维亚,0:1,波斯波利斯,20170531004,3.25,0,周二004,2017-05-31,1.80
3.70,,慕尼黑1860,0:2,雷根斯堡,20170531003,3.00,0,周二003,2017-05-31,1.90
3.22,,韩国U20,1:3,葡萄牙U20,20170530011,2.82,0,周二011,2017-05-30,2.16
7.60,,川崎前锋,4:1,蒙通联,20170530002,4.75,3,周二002,2017-05-30,1.27
2.34,,鹿岛鹿角,2:1,广州恒大,20170530001,3.30,3,周二001,2017-05-30,2.51
3.75,,委内瑞拉U20,0:0,日本U20,20170530010,2.88,1,周二010,2017-05-30,1.94
1.30,,法兰克福,1:2,多特蒙德,20170528028,4.35,0,周六028,2017-05-28,7.70
4.45,,科隆竞技,1:2,拉普拉塔体操,20170528027,3.16,0,周六027,2017-05-28,1.70
1.56,,阿森纳,2:1,切尔西,20170528001,3.75,3,周六001,2017-05-28,4.50
1.89,,桑纳菲尤尔,0:0,奥德,20170528026,3.15,1,周六026,2017-05-28,3.55
9.00,,北雪平,3:2,哈尔姆斯塔德,20170528025,5.40,3,周六025,2017-05-28,1.20
1.43,,博洛尼亚,1:2,尤文图斯,20170528024,4.15,0,周六024,2017-05-28,5.30
9.10,,亚特兰大,1:0,切沃,20170528023,5.80,3,周六023,2017-05-28,1.18
9.75,,佐加顿斯,4:1,埃斯基尔斯蒂纳,20170527022,5.80,3,周六022,2017-05-27,1.17
4.05,,卡尔马,3:0,松兹瓦尔,20170527021,3.25,3,周六021,2017-05-27,1.74
2.33,,大邱FC,2:0,尚州尚武,20170528011,3.10,3,周日011,2017-05-28,2.65
1.64,,金泽塞维根,0:4,松本山雅,20170528010,3.25,0,周日010,2017-05-28,4.72
5.85,,美国U20,1:1,沙特U20,20170528009,3.65,1,周日009,2017-05-28,1.46
8.00,,凯尔特人,2:1,阿伯丁,20170527020,4.50,3,周六020,2017-05-27,1.28
7.50,,乌拉圭U20,0:0,南非U20,20170527019,4.65,1,周六019,2017-05-27,1.28
2.50,,日本U20,2:2,意大利U20,20170527018,2.05,1,周六018,2017-05-27,4.15
3.30,,首尔FC,0:0,蔚山现代,20170527017,3.20,1,周六017,2017-05-27,1.95
2.66,,长崎航海,1:0,东京绿茵,20170527016,3.05,3,周六016,2017-05-27,2.35
3.70,,鸟栖沙岩,1:0,札幌冈萨多,20170527015,3.25,3,周六015,2017-05-27,1.82
2.42,,塞内加尔U20,0:0,厄瓜多尔U20,20170528008,3.25,1,周日008,2017-05-28,2.45
2.22,,神户胜利船,1:2,大阪樱花,20170528007,3.25,0,周日007,2017-05-28,2.69
6.90,,东京FC,1:1,甲府风林,20170528006,3.85,1,周日006,2017-05-28,1.38
4.20,,洪都拉斯U20,2:0,越南U20,20170528051,4.30,3,周日051,2017-05-28,1.52
1.19,,新西兰U20,0:2,法国U20,20170528005,5.40,0,周日005,2017-05-28,9.60
3.88,,大分三神,1:1,冈山绿雉,20170528004,3.10,1,周日004,2017-05-28,1.82
3.23,,浦项制铁,1:2,江原FC,20170527014,3.15,0,周六014,2017-05-27,1.99
2.50,,横滨FC,1:2,名古屋鲸八,20170527013,3.20,0,周六013,2017-05-27,2.40
